id,distance,nearby_school_id,school_id
119488,0.0531501383,44,53
119489,0.0560623022,98,53
119490,0,53,53
119491,0.0087897929,85,55
119492,0.0152120598,44,55
119493,0.0191893677,45,55
119494,0.021032784,41,55
119495,0.0218894183,61,55
119496,0.0301656771,123,55
119497,0.0302170864,90,55
119498,0.0302545473,91,55
119499,0.0310266977,40,55
119500,0,55,55
119501,0.0028251722,52,54
119502,0.0118109374,61,54
119503,0.0136101241,41,54
119504,0.0185504116,44,54
119505,0.0237327691,98,54
119506,0.0267658992,40,54
119507,0.0301007391,96,54
119508,0.0336946212,55,54
119509,0.0361732233,53,54
119510,0,54,54
119511,0.0051592207,37,51
119512,0.0092210095,42,51
119513,0.0103126098,62,51
119514,0.0117342696,60,51
119515,0.0146214388,38,51
119516,0.0154879146,43,51
119517,0.0203981604,39,51
119518,0.0286380139,86,51
119519,0.029209295,97,51
119520,0,51,51
119521,0.0367098341,59,49
119522,0.0379962046,1807,49
119523,0.0535632406,1809,49
119524,0.0597101369,47,49
119525,0.0674349806,1813,49
119526,0.0962751766,38,49
119527,0.1000016153,39,49
119528,0.1010794387,51,49
119529,0.1033513564,60,49
119530,0,49,49
119531,0.0380704777,48,58
119532,0.0422244218,53,58
119533,0.0536577284,96,58
119534,0.0587175428,1806,58
119535,0.0638976036,46,58
119536,0.0708978239,1808,58
119537,0.0719620129,40,58
119538,0.0723466047,52,58
119539,0.0745277226,54,58
119540,0,58,58
119541,0.0100842881,56,50
119542,0.0125102255,57,50
119543,0.0200648781,66,50
119544,0.022520262,63,50
119545,0.0317368708,116,50
119546,0.0326771761,79,50
119547,0.0333431861,89,50
119548,0.0345302862,39,50
119549,0.0352118979,80,50
119550,0,50,50
119551,0.0043966627,41,61
119552,0.0068492251,44,61
119553,0.0118109374,54,61
119554,0.0124860415,52,61
119555,0.0218894183,55,61
119556,0.0219185319,98,61
119557,0.0236257243,40,61
119558,0.0293944662,85,61
119559,0.0310665643,95,61
119560,0,61,61
119561,0.0367098341,49,59
119562,0.0482567368,47,59
119563,0.0604987604,38,59
119564,0.0644116562,51,59
119565,0.0649485473,39,59
119566,0.067285363,60,59
119567,0.0695703443,37,59
119568,0.0704528569,1807,59
119569,0.0728619269,42,59
119570,0,59,59
119571,0.0100842881,50,56
119572,0.0110340531,66,56
119573,0.012569982,63,56
119574,0.0136070739,57,56
119575,0.0227963411,116,56
119576,0.0253216163,79,56
119577,0.0261462412,80,56
119578,0.0265920885,89,56
119579,0.0281026676,121,56
119580,0,56,56
119581,0.006180648,78,65
119582,0.0117306878,64,65
119583,0.0157686869,76,65
119584,0.0178193987,67,65
119585,0.0232907939,120,65
